iter	Logloss
0	0.6250188419
1	0.5747499199
2	0.534377157
3	0.5009112434
4	0.4772785726
5	0.4571884755
6	0.4434691757
7	0.4301779142
8	0.4180184953
9	0.4087809476
10	0.4010441535
11	0.3930689916
12	0.387653331
13	0.3826263465
14	0.3782033634
15	0.3749384493
16	0.3720274531
17	0.3694601547
18	0.3668864987
19	0.3650491184
20	0.3627117183
21	0.3606365682
22	0.3586960333
23	0.3570730764
24	0.3556808427
25	0.3544429927
26	0.3531358657
27	0.3520107192
28	0.3507990651
29	0.3496743307
30	0.3487051517
31	0.347690272
32	0.3467400612
33	0.345820595
34	0.3449295755
35	0.3439665366
36	0.3432828439
37	0.342541669
38	0.3417318169
39	0.3409901155
40	0.340255512
41	0.3395916713
42	0.338937057
43	0.3383874593
44	0.3377312151
45	0.3372799484
46	0.3365786511
47	0.3360411638
48	0.3355856324
49	0.3351030987
