iter	Passed	Remaining
0	14	724
1	26	644
2	41	652
3	56	646
4	69	626
5	84	622
6	99	611
7	113	597
8	126	574
9	137	551
10	150	532
11	161	511
12	172	489
13	184	474
14	196	459
15	207	441
16	219	426
17	232	414
18	246	402
19	258	387
20	272	376
21	286	364
22	299	351
23	311	337
24	324	324
25	338	312
26	353	300
27	366	287
28	379	274
29	395	263
30	409	250
31	425	239
32	438	225
33	452	212
34	466	200
35	480	186
36	493	173
37	505	159
38	518	146
39	531	132
40	543	119
41	556	106
42	570	92
43	583	79
44	595	66
45	608	52
46	621	39
47	634	26
48	646	13
49	657	0
